,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
376,Mongo,100,CF,1558563892,48,4.83,22.92,80.33,2.13
377,Lenti,100,HU,1558563892,82,46.62,16.54,59.0,1.12
378,Galbshtadt,66,RU,1558563893,71,53.23,78.98,42.35,8.32
379,Tarko-Sale,100,RU,1558563893,86,64.92,77.78,25.0,1.01
380,Kirkuk,2,IQ,1558563893,22,35.47,44.4,86.81,4.09
381,Port Hardy,90,CA,1558563443,82,50.7,-127.42,55.4,11.41
382,Chapais,75,CA,1558563429,29,49.78,-74.86,62.6,3.36
383,Laguna,5,MX,1558563446,23,27.52,-110.01,87.8,16.11
384,Vokhma,100,RU,1558563893,93,58.93,46.76,51.35,5.46
385,Inhambane,1,MZ,1558563894,94,-23.87,35.38,65.75,2.44
386,Sattahip,40,TH,1558563894,88,12.67,100.9,84.99,2.24
387,Lakes Entrance,0,AU,1558563894,96,-37.88,147.99,39.99,3.2
388,Eminabad,75,PK,1558563894,44,32.04,74.25,82.4,16.11
389,Izacic,73,BA,1558563894,84,44.88,15.78,57.0,1.01
390,Pocoes,0,BR,1558563895,73,-14.53,-40.37,71.6,6.93
391,Saint Anthony,75,US,1558563895,34,43.97,-111.68,53.6,14.99
392,Pueblo,40,US,1558563895,37,38.25,-104.61,69.01,10.29
393,Margate,75,AU,1558563895,62,-43.03,147.26,55.0,8.05
394,Toamasina,40,MG,1558563896,94,-18.17,49.38,71.6,3.49
395,Anadyr,0,RU,1558563896,69,64.73,177.51,39.2,8.95
396,Dapdap,100,PH,1558563896,96,14.05,121.57,77.0,2.01
397,Houma,2,CN,1558563896,26,35.63,111.36,63.23,1.57
398,San Jose,30,PH,1558563709,77,15.79,120.99,79.43,1.19
399,Neenah,75,US,1558563896,50,44.19,-88.46,78.8,16.11
400,Nagamangala,99,IN,1558563897,62,12.82,76.75,80.15,7.07
401,Zelenoborsk,69,RU,1558563897,62,61.47,64.05,38.93,4.0
402,Los Llanos de Aridane,3,ES,1558563443,77,28.66,-17.92,68.0,16.11
403,Luganville,40,VU,1558563897,65,-15.51,167.18,77.0,9.17
404,Utena,78,LT,1558563897,81,55.5,25.6,60.17,0.27
405,Allen,75,US,1558563898,62,33.1,-96.67,90.0,16.11
406,Macas,20,EC,1558563898,65,-2.3,-78.12,78.8,8.05
407,Bandarbeyla,9,SO,1558563401,72,9.49,50.81,81.23,6.46
408,Northam,0,GB,1558563898,87,51.04,-4.21,53.01,4.7
409,Menongue,81,AO,1558563898,44,-14.66,17.68,66.47,0.76
410,Ileza,100,RU,1558563899,85,61.05,43.9,45.95,3.18
411,Coquimbo,0,CL,1558563489,67,-29.95,-71.34,62.01,9.17
412,San Felipe,0,CL,1558563899,38,-32.75,-70.73,54.0,3.2
413,Harrismith,1,ZA,1558563899,44,-28.27,29.13,50.99,4.72
414,Presidencia Roque Saenz Pena,94,AR,1558563899,83,-26.79,-60.44,60.53,8.14
415,Dalvik,75,SE,1558563900,93,57.79,14.13,52.0,11.41
416,Tokur,100,RU,1558563900,83,53.13,132.9,40.73,3.78
417,Touros,20,BR,1558563388,78,-5.2,-35.46,82.4,6.93
418,Amga,100,RU,1558563900,92,60.89,131.98,41.99,2.3
419,Bonavista,99,CA,1558563503,87,48.65,-53.11,36.0,13.0
420,Vila Franca do Campo,20,PT,1558563246,72,37.72,-25.43,62.6,5.82
421,Saint-Augustin,0,FR,1558563900,67,44.83,-0.61,63.0,3.36
422,Qiongshan,0,CN,1558563901,94,20.01,110.35,77.0,4.47
423,Innisfail,75,CA,1558563901,41,52.02,-113.95,64.4,6.93
424,Palairos,20,GR,1558563901,77,38.78,20.88,62.6,9.17
425,Ylojarvi,75,FI,1558563901,77,61.56,23.6,61.0,11.41
426,Pilar,0,AR,1558563902,72,-34.46,-58.91,60.8,2.24
427,Zaraza,100,VE,1558563902,45,9.35,-65.33,91.67,4.38
428,Baherden,100,TM,1558563902,57,38.44,57.43,55.13,8.75
429,Kamaishi,0,JP,1558563902,60,39.28,141.86,50.63,2.62
430,Mittagong,0,AU,1558563902,100,-34.45,150.45,61.0,8.05
431,Chiang Rai,0,TH,1558563903,94,19.9,99.84,73.4,4.7
432,Salinas,1,US,1558563903,52,36.67,-121.66,72.0,14.99
433,Chiredzi,0,ZW,1558563903,81,-21.05,31.67,62.15,1.7
434,Palembang,95,ID,1558563903,98,-2.99,104.76,74.03,2.59
435,Sandpoint,40,US,1558563903,32,48.28,-116.55,71.01,5.82
436,Pangai,75,TO,1558563430,88,-19.8,-174.35,77.0,20.8
437,Senneterre,90,CA,1558563904,27,48.39,-77.24,62.6,12.75
438,Lerwick,99,GB,1558563904,93,60.15,-1.15,48.2,4.7
439,Aswan,0,EG,1558563789,13,24.09,32.9,95.0,11.41
440,Plainview,1,US,1558563904,8,34.18,-101.71,90.0,20.8
441,Te Anau,35,NZ,1558563453,96,-45.41,167.72,41.99,3.22
442,Ucluelet,5,CA,1558563905,56,48.94,-125.55,79.0,9.17
443,Ler,0,NO,1558563905,63,63.2,10.3,66.2,8.05
444,Taltal,0,CL,1558563478,43,-25.41,-70.49,65.93,6.02
445,Odlabari,100,IN,1558563905,81,26.83,88.62,66.83,4.94
446,Xining,90,CN,1558563905,50,36.62,101.77,48.29,1.45
447,Sibu,75,MY,1558563905,94,2.29,111.83,77.0,2.19
448,Samarinda,100,ID,1558563906,98,-0.5,117.14,74.21,1.61
449,Ancud,75,CL,1558563403,87,-41.87,-73.83,44.6,5.82
450,Eureka,90,US,1558563458,72,40.8,-124.16,60.8,18.34
451,Shihezi,100,CN,1558563906,38,44.3,86.03,66.47,10.33
452,Buluang,75,PH,1558563906,88,10.47,123.98,78.8,4.5
453,Mayor Pablo Lagerenza,100,PY,1558563449,78,-19.93,-60.77,61.79,5.48
454,Sharanga,88,RU,1558563907,96,57.18,46.54,46.31,4.12
455,Ixtapa,75,MX,1558563491,65,20.71,-105.21,81.0,16.11
456,Marawi,100,PH,1558563907,84,8.0,124.29,77.0,7.0
457,Hofn,100,IS,1558563190,91,64.25,-15.21,38.41,6.49
458,Cap Malheureux,75,MU,1558563907,83,-19.98,57.61,75.2,6.93
459,Turbat,31,PK,1558563908,39,26.0,63.05,89.33,7.16
460,Husavik,100,CA,1558563421,64,50.56,-96.99,53.01,11.01
461,Batagay-Alyta,0,RU,1558563908,72,67.8,130.41,28.85,4.38
462,Merrill,90,US,1558563908,44,42.03,-121.6,61.0,11.41
463,Elat,100,CM,1558563908,98,2.91,11.16,69.17,1.34
464,Macusani,66,PE,1558563908,81,-14.07,-70.43,43.97,9.93
465,Awjilah,100,LY,1558563909,33,29.14,21.3,83.93,15.26
466,Karratha,0,AU,1558563495,19,-20.74,116.85,78.71,11.3
467,Brooks,100,CA,1558563909,26,50.57,-111.89,68.0,4.0
468,Tairua,0,NZ,1558563909,75,-37.02,175.85,61.0,4.23
469,Khovu-Aksy,4,RU,1558563909,64,51.13,93.72,45.77,5.61
470,Yelbarga,95,IN,1558563910,47,15.63,76.02,88.79,12.39
471,Sheksna,99,RU,1558563910,95,59.21,38.5,47.93,3.53
472,Prachuap Khiri Khan,100,TH,1558563910,99,11.81,99.79,71.69,2.37
473,Hrubieszow,18,PL,1558563910,95,50.8,23.89,52.43,5.53
474,Erzin,0,TR,1558563910,49,36.95,36.2,73.4,10.29
475,Yate,23,GB,1558563911,62,51.54,-2.41,57.99,4.7
476,Usinsk,100,RU,1558563911,73,66.0,57.56,29.39,8.88
477,Markova,0,RU,1558563911,71,52.21,104.21,51.01,4.47
478,Port-Cartier,90,CA,1558563911,47,50.03,-66.88,57.2,13.87
479,Papetoai,75,PF,1558563911,94,-17.5,-149.87,77.0,3.36
480,Galway,75,IE,1558563912,71,53.27,-9.05,55.4,3.36
481,Evensk,100,RU,1558563423,91,61.92,159.24,40.55,1.57
482,Iralaya,100,HN,1558563422,86,15.0,-83.23,80.87,9.69
483,Chichigalpa,40,NI,1558563912,74,12.57,-87.03,84.2,9.6
484,Akdepe,0,TM,1558563912,43,42.05,59.39,57.2,4.7
485,Bayir,0,TR,1558563912,72,37.27,28.22,66.2,2.24
486,Billings,75,US,1558563645,38,45.79,-108.5,60.8,12.75
487,Vanavara,1,RU,1558563913,82,60.35,102.28,36.41,6.13
488,Lagoa,0,PT,1558563426,52,37.14,-8.45,69.8,11.41
489,Wajir,95,KE,1558563913,73,1.75,40.07,79.97,18.07
490,Farafangana,0,MG,1558563913,97,-22.82,47.83,67.73,3.53
491,Channel-Port aux Basques,2,CA,1558563913,78,47.57,-59.14,41.09,27.0
492,Bud,92,NO,1558563914,82,62.91,6.91,55.4,13.87
493,Talcahuano,0,CL,1558563914,81,-36.72,-73.12,53.6,5.82
494,Buzuluk,88,RU,1558563914,93,52.79,52.25,55.13,5.91
495,Manggar,70,ID,1558563914,91,-2.88,108.27,77.45,3.58
496,Wuda,99,CN,1558563914,14,39.5,106.72,68.09,11.45
497,Pampa,90,US,1558563915,28,35.54,-100.96,82.4,11.41
498,Daru,78,SL,1558563915,95,7.99,-10.85,76.73,3.91
499,Pretoria,0,ZA,1558563706,71,-25.75,28.19,54.0,2.24
500,Port Augusta,40,AU,1558563428,93,-32.49,137.76,46.4,4.7
501,Magalia,75,US,1558563915,27,39.81,-121.58,77.0,23.04
502,Kingman,90,US,1558563792,41,35.19,-114.05,71.01,3.36
503,Boa Vista,97,BR,1558563637,71,2.82,-60.67,80.87,1.63
504,Gizo,0,IL,1558563916,39,31.8,34.94,82.99,1.12
505,Nizhniy Kuranakh,100,RU,1558563917,77,58.84,125.49,47.75,3.09
506,Hobyo,26,SO,1558563503,68,5.35,48.53,83.21,9.73
507,Alofi,75,NU,1558563229,83,-19.06,-169.92,77.0,13.87
508,Kailua,20,US,1558563917,62,21.39,-157.74,86.0,11.41
509,Sao Filipe,0,CV,1558563485,85,14.9,-24.5,73.13,22.82
510,Muromtsevo,20,RU,1558563918,67,56.37,75.24,39.29,6.04
511,Carazinho,75,BR,1558563918,88,-28.3,-52.79,62.6,5.82
512,Baghdad,0,IQ,1558563914,20,33.3,44.38,90.05,4.38
513,Jiayuguan,80,CN,1558563918,10,39.77,98.29,66.29,5.23
514,Muros,0,ES,1558563918,71,42.77,-9.06,57.99,4.32
515,Gravelbourg,75,CA,1558563918,22,49.88,-106.56,68.63,18.03
516,Nagua,90,DO,1558563919,88,19.37,-69.85,78.8,6.42
517,Ust-Kuyga,3,RU,1558563411,73,70.0,135.55,31.55,5.55
518,Puerto Escondido,20,MX,1558563412,66,15.86,-97.07,86.0,11.41
519,Suileng,0,CN,1558563919,87,47.25,127.08,45.77,2.13
520,Dzhebariki-Khaya,100,RU,1558563919,90,62.22,135.8,45.95,4.56
521,Griffith,0,AU,1558563920,93,-34.29,146.06,42.8,5.82
522,Dengzhou,0,CN,1558563920,48,32.69,112.08,67.73,0.69
523,High Prairie,100,CA,1558563920,48,55.43,-116.48,63.59,4.18
524,Tifton,1,US,1558563920,41,31.45,-83.51,93.2,4.7
525,Akom,100,GH,1558563920,91,6.86,-1.64,74.57,3.27
526,Whitehorse,75,CA,1558563443,39,60.72,-135.06,71.01,5.82
